player_id,player_name,team_id,team_abbreviation,age,player_height,player_height_inches,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
1631219,John Butler Jr.,1610612757,POR,20,7-0,84,190,Florida State,USA,Undrafted,Undrafted,Undrafted,14,8,7,4,-10.1,0.009,0.068,0.078,0.217,0.056
1628381,John Collins,1610612737,ATL,25,6-9,81,226,Wake Forest,USA,2017,1,19,67,862,435,82,-0.6,0.035,0.179,0.167,0.585,0.053
1629723,John Konchar,1610612763,MEM,27,6-5,77,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,67,339,281,89,7.7,0.037,0.149,0.101,0.541,0.078
202322,John Wall,1610612746,LAC,32,6-3,75,210,Kentucky,USA,2010,1,1,34,386,92,178,-6.6,0.018,0.096,0.259,0.497,0.38
1631098,Johnny Davis,1610612764,WAS,21,6-4,76,195,Wisconsin,USA,2022,1,10,23,78,35,9,-5.9,0.024,0.112,0.165,0.43,0.058
1630548,Johnny Juzang,1610612762,UTA,22,6-6,78,209,UCLA,USA,Undrafted,Undrafted,Undrafted,15,70,30,7,-15.3,0.018,0.127,0.179,0.428,0.056
202685,Jonas Valanciunas,1610612740,NOP,30,6-11,83,265,None,Lithuania,2011,1,5,75,1079,760,133,-1.3,0.116,0.291,0.231,0.614,0.109
1628371,Jonathan Isaac,1610612753,ORL,25,6-10,82,230,Florida State,USA,2017,1,6,11,55,44,6,-5.8,0.099,0.25,0.198,0.483,0.085
1630228,Jonathan Kuminga,1610612744,GSW,20,6-7,79,225,None,DRC,2021,1,7,63,618,214,115,-1.8,0.051,0.114,0.196,0.59,0.129
203903,Jordan Clarkson,1610612762,UTA,30,6-5,77,194,Missouri,USA,2014,2,46,61,1271,246,270,0.8,0.036,0.083,0.273,0.558,0.209
1630692,Jordan Goodwin,1610612764,WAS,24,6-3,75,200,St. Louis,USA,Undrafted,Undrafted,Undrafted,57,344,178,138,-4.5,0.051,0.127,0.157,0.536,0.206
